name	word	time_w	diph	time_d
01-speaker-jk	graduate	0.6774859190988225	ua_s	0.10704626038688514
01-speaker-jk	dies	0.5835198343107892	ay_l	0.24033406510707023
01-speaker-jk	douse	0.6087174191533684	aw_s	0.23178241580269443
01-speaker-jk	fierce	0.651332273109297	ia_s	0.22694467130576612
01-speaker-jk	bows	0.558285169364904	aw_l	0.31474624117790206
01-speaker-jk	dais	0.531244549101693	ey_s	0.22458246341579624
01-speaker-jk	doit	0.571490722744123	oy_s	0.21755640466068016
01-speaker-jk	joys	0.5223675898931006	oy_l	0.22904867179707367
01-speaker-jk	theirs	0.5429712086854934	ea_l	0.3027565662765639
01-speaker-jk	doubt	0.612604470359571	aw_s	0.23145890645104572
01-speaker-jk	gouge	0.8031065759637173	aw_l	0.27822659161758523
01-speaker-jk	daze	0.5715962207105036	ey_l	0.25020327020530786
01-speaker-jk	toyed	0.5811665406903508	oy_l	0.23371848740615064
01-speaker-jk	Joyce	0.6137883597883658	oy_s	0.20846253878136167
01-speaker-jk	thereto	0.6302149023352044	ea_s	0.17029666479417926
01-speaker-jk	bite	0.6749923998903569	ay_s	0.20294873795798196
01-speaker-jk	bourse	0.5637090657725565	ua_s	0.1540341879434166
01-speaker-jk	babe	0.6399134199134124	ey_l	0.17222544664346628
01-speaker-jk	abjured	0.6302418437910191	ua_l	0.19890680044331788
01-speaker-jk	bait	0.499853417557496	ey_s	0.21526811931977363
01-speaker-jk	dare	0.4406679894179888	ea_l	0.2952434266936734
01-speaker-jk	idiom	0.49334673752430547	ia_l	0.10112643208520922
01-speaker-jk	idiot	0.5721223509223492	ia_s	0.11870587224789375
01-speaker-jk	dice	0.5312549847525219	ay_s	0.19945065205569534
01-speaker-jk	Job	0.5039415469891679	ow_l	0.18544284795159172
01-speaker-jk	joke	0.5197080498866171	ow_s	0.12957443315188044
01-speaker-jk	bode	0.4674402332361538	ow_l	0.20484016661411175
01-speaker-jk	fears	0.561605680868837	ia_l	0.2648654455067714
01-speaker-jk	bide	0.439882498453926	ay_l	0.2833627405687622
01-speaker-jk	daresay	0.7969153963626212	ea_s	0.264677202640911
01-speaker-jk	gourd	0.7273330813806922	ua_l	0.20496664380156915
01-speaker-jk	boat	0.5119246031745917	ow_s	0.21297313583819744
02-speaker-jj	bows	0.40219405187589574	aw_l	0.26365185895387233
02-speaker-jj	fierce	0.5985142586446344	ia_s	0.22511276912198586
02-speaker-jj	dies	0.469177790687362	ay_l	0.3068218736637105
02-speaker-jj	babe	0.3233951785842546	ey_l	0.18478223167134367
02-speaker-jj	douse	0.3888417472252055	aw_s	0.21163528335809545
02-speaker-jj	fears	0.6760069624093781	ia_l	0.26238442866530853
02-speaker-jj	bourse	0.5040365497075996	ua_s	0.2961999887860607
02-speaker-jj	bite	0.36707572175211567	ay_s	0.17467931933816772
02-speaker-jj	joke	0.39999877428448727	ow_s	0.19589532785438735
02-speaker-jj	idiom	0.5080645812500322	ia_l	0.11931844156501015
02-speaker-jj	bide	0.34528813406878456	ay_l	0.18977938575862296
02-speaker-jj	bode	0.25672619047618994	ow_l	0.1603791593609465
02-speaker-jj	doubt	0.37519583080757357	aw_s	0.16655616525308758
02-speaker-jj	gouge	0.33679797892263963	aw_l	0.20262294233098288
02-speaker-jj	doit	0.38043825550270327	oy_s	0.20110840692384358
02-speaker-jj	dare	0.28878524743230116	ea_l	0.10259395989506714
02-speaker-jj	theirs	0.408729819234658	ea_l	0.23907495317707372
02-speaker-jj	dice	0.3991152998424212	ay_s	0.17638542673955726
02-speaker-jj	toyed	0.4265383536927274	oy_l	0.24132519553656806
02-speaker-jj	Joyce	0.44101254791437583	oy_s	0.20353585869264634
02-speaker-jj	abjured	0.5165041932116736	ua_l	0.1319831511112568
02-speaker-jj	Job	0.4134489412764566	ow_l	0.21005897512954874
02-speaker-jj	daze	0.37617876830666574	ey_l	0.25206898300695
02-speaker-jj	graduate	0.6365109209672184	ua_s	0.14865616820672756
02-speaker-jj	thereto	0.6244735743759833	ea_s	0.20281966310334099
02-speaker-jj	dais	0.39925493296733805	ey_s	0.2540462183801111
02-speaker-jj	boat	0.329079705465702	ow_s	0.15854609961309762
02-speaker-jj	idiot	0.5414137737569291	ia_s	0.14816643277357855
02-speaker-jj	daresay	0.6158695087418522	ea_s	0.19465653263551985
02-speaker-jj	joys	0.40496643836308976	oy_l	0.23208319515772757
02-speaker-jj	bait	0.35298847408881784	ey_s	0.1874416219479258
02-speaker-jj	gourd	0.3850562504571684	ua_l	0.2502129733762075
03-speaker-im	theirs	0.5674331662489557	ea_l	0.27303147266770234
03-speaker-im	abjured	0.7719512471655339	ua_l	0.24695554483127857
03-speaker-im	bait	0.44796566245545844	ey_s	0.26370874838030467
03-speaker-im	dare	0.4559775338706924	ea_l	0.33807450246879966
03-speaker-im	fierce	0.6955497246517659	ia_s	0.2979570975415342
03-speaker-im	douse	0.5644300144300143	aw_s	0.33864699308975155
03-speaker-im	bourse	0.6567066249923421	ua_s	0.27883053286627657
03-speaker-im	fears	0.7544384116550802	ia_l	0.3373414623894462
03-speaker-im	Job	0.6675649853437307	ow_l	0.35368377044801846
03-speaker-im	thereto	0.755863567649282	ea_s	0.21616886088511578
03-speaker-im	joys	0.6980019886742568	oy_l	0.35268883120685146
03-speaker-im	daresay	0.8839740128855667	ea_s	0.20139345597066694
03-speaker-im	bide	0.6544339164237201	ay_l	0.3836915375729433
03-speaker-im	joke	0.6336400856638917	ow_s	0.27023369818425636
03-speaker-im	boat	0.6973667800453498	ow_s	0.27608029668516565
